Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
29-06-2018,MAHARASHTRA,WARDHA,1.19,-,8.49,39.64716886
29-06-2018,MAHARASHTRA,BULDANA,1.68,-,10.54,40.46847116
29-06-2018,MAHARASHTRA,SINDHUDURG,9.14,-,61.38,40.89384472
28-06-2018,MAHARASHTRA,WASHIM,0.15,-,1.05,45.13013612
28-06-2018,MAHARASHTRA,SATARA,5.57,-,44.55,34.65808859
28-06-2018,MAHARASHTRA,PUNE,2.43,-,16.16,35.41270214
28-06-2018,MAHARASHTRA,PARBHANI,0.16,-,1.04,40.34700696
28-06-2018,MAHARASHTRA,JALNA,0.52,-,3.1,37.54857787
28-06-2018,MAHARASHTRA,GONDIYA,1.03,-,7.99,41.49980911
28-06-2018,MAHARASHTRA,MUMBAI,0,-,0,44.37969332
28-06-2018,MAHARASHTRA,NASHIK,1.69,-,11.36,33.79520512
28-06-2018,MAHARASHTRA,GARHCHIROLI,2.12,-,16.27,35.91449499
28-06-2018,MAHARASHTRA,RATNAGIRI,6.91,-,44.28,38.67592723
28-06-2018,MAHARASHTRA,OSMANABAD,2.08,-,21.05,36.38248613
28-06-2018,MAHARASHTRA,BID,1.54,-,13.95,35.67003384
28-06-2018,MAHARASHTRA,LATUR,5.25,-,48.8,39.91375661
28-06-2018,MAHARASHTRA,YAVATMAL,0.51,-,3.72,42.47133508
28-06-2018,MAHARASHTRA,BHANDARA,3.22,-,28.23,42.10961449
28-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,0.46,-,4.7,40.35189574
28-06-2018,MAHARASHTRA,NANDURBAR,0.32,-,1.88,35.58333584
28-06-2018,MAHARASHTRA,NAGPUR,2.86,-,28.47,43.81667194
28-06-2018,MAHARASHTRA,CHANDRAPUR,1,-,7.12,41.1487082
28-06-2018,MAHARASHTRA,JALGAON,0.7,-,4.49,37.50156088
28-06-2018,MAHARASHTRA,HINGOLI,0.81,-,5.35,42.49191993
28-06-2018,MAHARASHTRA,AKOLA,0.71,-,4.97,43.6319305
28-06-2018,MAHARASHTRA,AURANGABAD,0.39,-,2.5,36.52075
28-06-2018,MAHARASHTRA,DHULE,0.86,-,5.94,39.35665036
28-06-2018,MAHARASHTRA,KOLHAPUR,8.43,-,67.27,40.89342543
28-06-2018,MAHARASHTRA,RAIGARH,5.96,-,41.78,36.32967353
28-06-2018,MAHARASHTRA,AMRAVATI,1.05,-,7.87,41.01204425
28-06-2018,MAHARASHTRA,NANDED,0.67,-,4.93,42.15051055
28-06-2018,MAHARASHTRA,SOLAPUR,1.23,-,10.64,34.94956773
28-06-2018,MAHARASHTRA,AHMADNAGAR,0.86,-,6.65,34.3437419
28-06-2018,MAHARASHTRA,THANE,3.2,-,23.94,32.0522048
28-06-2018,MAHARASHTRA,SANGLI,3.51,-,28.57,36.05535586
