"State	",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Tamil Nadu	",Total,180.59,170.32,171.94,160.56,164.19,78.24,76.81,76.46,58.89,62.22,433,451,445,367,379
"Telangana	",Kharif,92,66,60,62,36,58.7,41.51,47.28,25.73,21.53,638,629,788,415,598
"Telangana	",Rabi,7,7,6,13,15,5.82,6.64,5.69,12.32,14.37,832,948,948,948,958
"Telangana	",Total,99,73,66,75,51,64.52,48.15,52.97,38.05,35.9,652,660,803,507,704
"Tripura	",Kharif,2.47,2.08,2.26,1.45,1.01,1.35,1.26,1.46,0.94,0.65,545,603,646,645,643
"Tripura	",Rabi,2.32,1.96,1.77,1.47,1.07,1.45,1.3,1.22,1.1,0.75,625,664,689,749,698
"Tripura	",Total,4.79,4.04,4.03,2.92,2.08,2.8,2.56,2.68,2.04,1.4,584,633,665,697,671
"Uttar Pradesh	",Kharif,45,51,49,39,38,17.73,21.62,14.06,15.52,13.6,394,424,287,398,358
"Uttar Pradesh	",Rabi,42,41,44,47,47,28.18,34.03,38.94,45.45,40.14,671,830,885,967,854
"Uttar Pradesh	",Total,87,92,93,86,85,45.91,55.65,53,60.97,53.74,528,605,570,709,632
"West Bengal	",Kharif,1.5,2.59,2.25,2.08,1.94,1.35,1.95,1.9,1.66,1.35,900,751,843,801,696
"West Bengal	",Rabi,70.8,62.08,72.13,72.64,71.84,50.42,29.89,30.16,53.1,54.52,712,481,418,731,759
"West Bengal	",Total,72.3,64.68,74.38,74.72,73.78,51.77,31.84,32.06,54.76,55.88,716,492,431,733,757
"All India	",Kharif,3259.08,3832.01,3521.39,3822.4,3842.71,1433.23,1784.2,1826.23,1996.4,1480.31,440,466,519,522,385
"All India	",Rabi,983.2,922.95,1059.16,1307.78,1707.82,589.96,671.17,682.64,1088.95,1685.52,600,727,645,833,987
"All India	",Total,4242.29,4754.96,4580.54,5130.17,5550.53,2023.18,2455.37,2508.87,3085.35,3165.83,477,516,548,601,570
