"State			",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Puducherry	",Total,0.54,0.5,0.47,0.46,0.49,0.37,0.31,0.29,0.28,0.35,691,625,612,606,716
"Punjab	",Kharif,1.6,2,2,2,1.6,0.93,1.11,1.16,1.23,0.71,580,555,578,614,441
"Rajasthan	",Kharif,839.29,750.72,502.1,411.2,424.86,523.72,376.11,123.52,160.37,155.5,624,501,246,390,366
"Rajasthan	",Rabi,0,0.01,0.04,0,0,0,0.01,0.06,0,0,0,1571,1463,0,0
"Rajasthan	",Total,839.29,750.73,502.14,411.2,424.86,523.72,376.12,123.58,160.37,155.5,624,501,246,390,366
"Sikkim	",Kharif,2.69,2.72,2.79,2.86,2.85,2.5,2.54,2.61,2.68,2.69,928,936,936,940,943
"Tamil Nadu	",Kharif,58.42,44.49,42.6,45.68,42.6,53.22,33.81,35.87,40.66,37.53,911,760,842,890,881
"Tamil Nadu	",Rabi,367.92,396.46,362.72,356.51,364.65,248.35,240.65,281.47,184.32,231.19,675,607,776,517,634
"Tamil Nadu	",Total,426.34,440.95,405.32,402.19,407.25,301.57,274.46,317.34,224.97,268.72,707,622,783,559,660
"Telangana	",Kharif,32,27,15,19,19,25.82,22.82,14.07,14.19,15.05,807,845,938,747,792
"Telangana	",Rabi,6,5,7,19,39,5.27,7.4,12.6,35.7,50.51,879,1480,1800,1879,1295
"Telangana	",Total,38,32,22,38,58,31.1,30.22,26.67,49.89,65.55,818,944,1212,1313,1130
"Tripura	",Kharif,2.87,2.53,2.95,5.3,4.32,1.68,1.47,1.86,3.82,2.97,586,582,629,721,687
"Tripura	",Rabi,2.48,2.33,1.97,4.01,3.01,1.76,1.63,1.45,3.18,2.32,711,700,735,795,769
"Tripura	",Total,5.35,4.86,4.92,9.31,7.33,3.45,3.1,3.3,7.01,5.28,644,639,671,753,721
"Uttarakhand	",Kharif,14,12,12,12,13,10.58,10.42,11.32,12.83,15.64,756,868,943,1069,1203
"Uttar Pradesh	",Kharif,565,521,519,508,514,283.07,289.16,212.79,282.45,255.97,501,555,410,556,498
"Uttar Pradesh	",Rabi,49,46,45,46,47,30.97,36.16,32.22,34.91,35.53,632,786,716,759,756
"Uttar Pradesh	",Total,614,567,564,554,561,314.03,325.31,245.01,317.36,291.5,511,574,434,573,520
"West Bengal	",Kharif,67.55,66.69,66.85,67.65,66.72,48.37,43.81,44.85,43.36,44.37,716,657,671,641,665
"West Bengal	",Rabi,15,8.19,5.5,4.44,6.31,14.7,8.06,5.22,4.3,5.8,980,984,948,969,919
"West Bengal	",Total,82.55,74.87,72.35,72.09,73.03,63.07,51.87,50.07,47.66,50.17,764,693,692,661,687
"All India	",Kharif,4350.49,4725.92,3701.68,3212.96,3624.67,2751.24,2362.57,1329.64,1506.59,1865.13,632,500,359,469,515
"All India	",Rabi,928.6,876.56,831.66,929.55,1008.81,741.18,697.44,751.64,722.99,910.79,798,796,904,778,903
"All India	",Total,5279.09,5602.48,4533.34,4142.5,4633.47,3492.42,3060,2081.28,2229.58,2775.93,662,546,459,538,599
