Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
26-06-2018,ANDHRA PRADESH,Y.S.R.,2.46,-,17.06,26.03229316
26-06-2018,ANDHRA PRADESH,CHITTOOR,4.08,-,27.28,31.65648856
26-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.45,-,4.07,29.37899378
26-06-2018,ANDHRA PRADESH,GUNTUR,0.11,-,0.9,30.27863846
26-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.68,-,6.26,31.51203153
25-06-2018,ANDHRA PRADESH,PRAKASAM,0.58,-,3.95,26.50881475
25-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.99,-,8.56,35.54222112
25-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.22,-,2.02,31.98688484
25-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.53,-,3.63,28.91972713
25-06-2018,ANDHRA PRADESH,ANANTAPUR,2.31,-,15.92,24.90182791
25-06-2018,ANDHRA PRADESH,KURNOOL,3.8,-,29.78,28.2510783
25-06-2018,ANDHRA PRADESH,KRISHNA,1.17,-,9.6,32.29755595
25-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.08,-,17.67,32.35935955
25-06-2018,ANDHRA PRADESH,Y.S.R.,2.6,-,18.13,26.62882713
25-06-2018,ANDHRA PRADESH,CHITTOOR,4.2,-,28.12,32.7986459
25-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.5,-,4.43,30.22777275
25-06-2018,ANDHRA PRADESH,GUNTUR,0.12,-,0.94,29.92740697
25-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.73,-,6.67,32.38112181
24-06-2018,ANDHRA PRADESH,PRAKASAM,0.62,-,4.22,27.26204811
24-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.04,-,8.88,35.94663747
24-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.23,-,2.14,33.74212555
24-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.52,-,3.58,27.51153465
24-06-2018,ANDHRA PRADESH,ANANTAPUR,2.52,-,17.44,25.77238201
24-06-2018,ANDHRA PRADESH,KURNOOL,4.13,-,32.39,29.34532009
24-06-2018,ANDHRA PRADESH,KRISHNA,1.2,-,9.83,34.06614165
24-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.16,-,18.34,32.89307771
24-06-2018,ANDHRA PRADESH,Y.S.R.,2.76,-,19.28,26.9920749
24-06-2018,ANDHRA PRADESH,CHITTOOR,4.23,-,28.34,31.61914073
24-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.59,-,5.03,31.47352942
24-06-2018,ANDHRA PRADESH,GUNTUR,0.12,-,1.02,31.61618086
24-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.8,-,7.2,33.18285346
23-06-2018,ANDHRA PRADESH,PRAKASAM,0.65,-,4.45,28.27071809
23-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.12,-,9.52,37.67793274
23-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.23,-,2.11,34.89474915
23-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.54,-,3.75,27.32558628
23-06-2018,ANDHRA PRADESH,ANANTAPUR,2.68,-,18.68,26.7931476
