Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
24-01-2020,TELANGANA,HYDERABAD,0,3.49,0,3.802063622
24-01-2020,TELANGANA,WARANGAL,0,1361.05,0,20.64189514
24-01-2020,TELANGANA,NALGONDA,0,1344.28,0,18.46673039
24-01-2020,TELANGANA,KARIMNAGAR,0,1109.03,0,18.14268084
24-01-2020,TELANGANA,MAHBUBNAGAR,0,1613.08,0,16.94193982
24-01-2020,TELANGANA,RANGAREDDY,0,800.65,0,20.53931856
24-01-2020,TELANGANA,MEDAK,0,1169.47,0,23.26365417
23-01-2020,TELANGANA,ADILABAD,0,1988.64,0,24.17808863
23-01-2020,TELANGANA,NIZAMABAD,0,856.26,0,21.06271102
23-01-2020,TELANGANA,KHAMMAM,0,1585.51,0,19.130212
23-01-2020,TELANGANA,HYDERABAD,0,3.66,0,3.989233652
23-01-2020,TELANGANA,WARANGAL,0,1369.9,0,20.77605389
23-01-2020,TELANGANA,NALGONDA,0,1353.49,0,18.59321851
23-01-2020,TELANGANA,KARIMNAGAR,0,1115.44,0,18.24748119
23-01-2020,TELANGANA,MAHBUBNAGAR,0,1619.55,0,17.00994178
23-01-2020,TELANGANA,RANGAREDDY,0,805.16,0,20.65503945
23-01-2020,TELANGANA,MEDAK,0,1175.66,0,23.38676747
22-01-2020,TELANGANA,ADILABAD,0,2000.62,0,24.32381154
22-01-2020,TELANGANA,NIZAMABAD,0,864.3,0,21.26048498
22-01-2020,TELANGANA,KHAMMAM,0,1607.99,0,19.40141625
22-01-2020,TELANGANA,HYDERABAD,0,3.86,0,4.204229794
22-01-2020,TELANGANA,WARANGAL,0,1391.63,0,21.10567124
22-01-2020,TELANGANA,NALGONDA,0,1365.74,0,18.76150686
22-01-2020,TELANGANA,KARIMNAGAR,0,1125.31,0,18.40893648
22-01-2020,TELANGANA,MAHBUBNAGAR,0,1662.67,0,17.46284111
22-01-2020,TELANGANA,RANGAREDDY,0,810.66,0,20.79594997
22-01-2020,TELANGANA,MEDAK,0,1182.36,0,23.52011532
21-01-2020,TELANGANA,ADILABAD,0,2012.5,0,24.46820436
21-01-2020,TELANGANA,NIZAMABAD,0,871.17,0,21.42963861
21-01-2020,TELANGANA,KHAMMAM,0,1619.21,0,19.53675607
21-01-2020,TELANGANA,HYDERABAD,0,4.05,0,4.409695751
21-01-2020,TELANGANA,WARANGAL,0,1389.25,0,21.06951164
