Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
30-06-2018,TELANGANA,ADILABAD,2.66,-,21.84,38.93943986
30-06-2018,TELANGANA,NIZAMABAD,2.11,-,19.44,36.57955286
30-06-2018,TELANGANA,KHAMMAM,1.73,-,14.8,38.03514001
30-06-2018,TELANGANA,HYDERABAD,9.56,-,73.51,34.78592745
30-06-2018,TELANGANA,WARANGAL,2.36,-,19.79,36.64546823
30-06-2018,TELANGANA,NALGONDA,1.54,-,13.01,36.17586006
30-06-2018,TELANGANA,KARIMNAGAR,2.56,-,21.74,36.50382269
30-06-2018,TELANGANA,MAHBUBNAGAR,3.28,-,26.37,32.18263358
30-06-2018,TELANGANA,RANGAREDDY,4.63,-,36.1,38.60045584
30-06-2018,TELANGANA,MEDAK,2.27,-,17.4,37.34713063
29-06-2018,TELANGANA,ADILABAD,3.26,-,26.5,41.65544857
29-06-2018,TELANGANA,NIZAMABAD,2.44,-,22.49,39.57997506
29-06-2018,TELANGANA,KHAMMAM,1.3,-,11.35,35.08739352
29-06-2018,TELANGANA,HYDERABAD,9.59,-,73.76,35.4024464
29-06-2018,TELANGANA,WARANGAL,2.41,-,20.24,37.01930136
29-06-2018,TELANGANA,NALGONDA,1.48,-,12.52,34.54937856
29-06-2018,TELANGANA,KARIMNAGAR,3.04,-,25.73,39.62041912
29-06-2018,TELANGANA,MAHBUBNAGAR,3.38,-,27.1,31.87121323
29-06-2018,TELANGANA,RANGAREDDY,4.61,-,35.87,39.00831204
29-06-2018,TELANGANA,MEDAK,2.37,-,18.16,38.34633168
28-06-2018,TELANGANA,ADILABAD,2.77,-,22.5,41.54803388
28-06-2018,TELANGANA,NIZAMABAD,2.02,-,18.45,39.3889792
28-06-2018,TELANGANA,KHAMMAM,1.5,-,12.88,38.466797
28-06-2018,TELANGANA,HYDERABAD,9.64,-,74.17,35.66420357
28-06-2018,TELANGANA,WARANGAL,2.4,-,19.94,39.47250555
28-06-2018,TELANGANA,NALGONDA,1.45,-,12.3,35.89831518
28-06-2018,TELANGANA,KARIMNAGAR,2.64,-,22.43,40.08611635
28-06-2018,TELANGANA,MAHBUBNAGAR,3.44,-,27.65,31.82749282
28-06-2018,TELANGANA,RANGAREDDY,4.66,-,36.26,38.58050725
28-06-2018,TELANGANA,MEDAK,2.4,-,18.37,40.16657473
27-06-2018,TELANGANA,ADILABAD,2.09,-,17.08,42.36077445
27-06-2018,TELANGANA,NIZAMABAD,1.5,-,13.77,37.67785474
27-06-2018,TELANGANA,KHAMMAM,1.29,-,11.07,38.65888282
27-06-2018,TELANGANA,HYDERABAD,9.65,-,74.21,36.06557497
27-06-2018,TELANGANA,WARANGAL,1.52,-,12.72,38.56169392
27-06-2018,TELANGANA,NALGONDA,1.32,-,11.28,35.42804667
27-06-2018,TELANGANA,KARIMNAGAR,1.66,-,14.53,38.27869434
27-06-2018,TELANGANA,MAHBUBNAGAR,3.43,-,27.53,31.69661116
27-06-2018,TELANGANA,RANGAREDDY,4.58,-,35.67,38.93304855
27-06-2018,TELANGANA,MEDAK,2.19,-,16.96,39.13461917
26-06-2018,TELANGANA,ADILABAD,1.01,-,8.67,40.64597387
26-06-2018,TELANGANA,NIZAMABAD,1.35,-,12.45,36.21960779
26-06-2018,TELANGANA,KHAMMAM,0.47,-,4.36,29.89697274
26-06-2018,TELANGANA,HYDERABAD,9.69,-,74.55,35.09546781
26-06-2018,TELANGANA,WARANGAL,0.9,-,7.57,32.48974614
26-06-2018,TELANGANA,NALGONDA,1.27,-,10.93,31.48858871
26-06-2018,TELANGANA,KARIMNAGAR,1.23,-,10.98,35.30518658
26-06-2018,TELANGANA,MAHBUBNAGAR,3.44,-,27.65,30.04307991
26-06-2018,TELANGANA,RANGAREDDY,4.6,-,35.87,37.41836486
26-06-2018,TELANGANA,MEDAK,2.12,-,16.38,37.26621637
25-06-2018,TELANGANA,ADILABAD,0.84,-,7.25,37.82316952
25-06-2018,TELANGANA,NIZAMABAD,1.35,-,12.49,34.69759422
25-06-2018,TELANGANA,KHAMMAM,0.49,-,4.49,30.52995276
