"State					",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Manipur	",Total,236.71,233.5,175.6,225.77,200.03,607.79,401.62,385.5,602.15,567.37,2568,1720,2195,2667,2836
"Meghalaya	",Kharif,97.46,97.31,97.36,93.97,94.83,241.12,159.95,240.39,232.76,234.14,2474,1644,2469,2477,2469
"Meghalaya	",Rabi,13.68,13.62,13.62,13.63,13.66,63.43,42.03,63.05,63.09,63.18,4636,3085,4629,4629,4626
"Meghalaya	",Total,111.14,110.93,110.98,107.6,108.49,304.55,201.98,303.44,295.85,297.32,2740,1821,2734,2750,2741
"Mizoram	",Kharif,35.63,35.09,34.74,34.78,34.41,58.61,59.05,59.05,61.21,59.88,1645,1683,1700,1760,1740
"Mizoram	",Rabi,0.49,0.46,0.47,0.47,0.49,1,0.96,0.96,0.98,0.99,2049,2087,2051,2089,2008
"Mizoram	",Total,36.11,35.55,35.21,35.25,34.91,59.61,60.01,60.01,62.19,60.87,1650,1688,1704,1764,1744
"Nagaland	",Kharif,206.75,208.99,211.28,213,121.83,339.73,346.4,352.61,356.35,150.22,1643,1657,1669,1673,1233
"Nagaland	",Rabi,5.25,5.46,5.67,5.81,0.25,9.9,10.29,10.7,11.04,0.45,1886,1885,1887,1900,1800
"Nagaland	",Total,212,214.45,216.95,218.81,122.08,349.63,356.69,363.31,367.39,150.67,1649,1663,1675,1679,1234
"Odisha	",Kharif,3544.45,3585.19,3648.1,3690.14,3648.43,5855.97,6807.9,7427.53,7657.04,8154.24,1652,1899,2036,2075,2235
"Odisha	",Rabi,221.94,274.23,292.61,348.1,299.32,695.34,925.8,932.84,1153.26,1136.52,3133,3376,3188,3313,3797
"Odisha	",Total,3766.39,3859.42,3940.71,4038.24,3947.75,6551.31,7733.7,8360.37,8810.3,9290.76,1739,2004,2122,2182,2353
"Puducherry	",Kharif,13.07,13.35,13.72,4.32,4.3,26.98,46.72,43.29,14.45,12.7,2064,3500,3155,3347,2956
"Puducherry	",Rabi,4.3,4.52,4.52,13.83,14.84,15.52,16.62,16.06,35.55,44.39,3611,3682,3555,2571,2992
"Puducherry	",Total,17.37,17.86,18.24,18.15,19.13,42.5,63.34,59.35,50.01,57.09,2446,3546,3254,2756,2984
"Punjab	",Kharif,3065,3103,2920,2928,2969,13381.79,12821.6,11779.28,12783.65,12885.46,4366,4132,4034,4366,4340
"Rajasthan	",Kharif,190.64,197.81,219.52,231.47,196.46,450.87,453.18,480.53,634,478.57,2365,2291,2189,2739,2436
"Sikkim	",Kharif,9.5,9.26,8.69,8.7,8.61,17.63,17.18,16.14,16.19,16.03,1856,1856,1858,1861,1861
"Tamil Nadu	",Kharif,1671.25,1572.71,1742.44,1859.66,2024.33,5922.9,5469.88,6387.77,6136.88,7050.76,3544,3478,3666,3300,3483
"Tamil Nadu	",Rabi,157.67,148.55,164.97,176.58,192.94,715.96,661.05,783.37,744.29,855.86,4541,4450,4748,4215,4436
